Nazwisko aktualne,Liczba
JASTRZĘBSKI,10030
KARPIŃSKI,10006
STANKIEWICZ,9978
URBANIAK,9935
PIASECKI,9811
KLIMEK,9767
ŁUCZAK,9740
CZAJKOWSKI,9727
NAWROCKI,9692
WIERZBICKI,9691
GAJDA,9630
BIELECKI,9456
DZIEDZIC,9450
BEDNAREK,9426
STEFAŃSKI,9415
MADEJ,9409
MILEWSKI,9352
JANICKI,9282
SOSNOWSKI,9225
KOWAL,9223
SKIBA,9203
LEŚNIAK,9198
URBAN,9133
MAJ,9127
JÓŹWIAK,9083
MAJCHRZAK,9057
SOCHA,8936
ŚLIWIŃSKI,8927
MAŁECKI,8918
BEDNARCZYK,8898
MAREK,8889
DOMAGAŁA,8829
KASPRZAK,8693
DOBROWOLSKI,8668
WRONA,8658
PAJĄK,8575
MICHALIK,8560
MATUSZEWSKI,8547
RATAJCZAK,8507
OLEJNICZAK,8399
ŚWIĄTEK,8390
ORZECHOWSKI,8363
WILCZYŃSKI,8323
ROMANOWSKI,8315
KUROWSKI,8285
RYBAK,8224
ROGOWSKI,8161
OLEJNIK,8153
ŁUKASIK,8135
MAZURKIEWICZ,8124
BUKOWSKI,8115
GRZELAK,8097
SROKA,8072
OWCZAREK,8043
SOBOLEWSKI,8016
KOSIŃSKI,7919
KĘDZIERSKI,7903
ZYCH,7864
BARAŃSKI,7851
BEDNARZ,7810
MARSZAŁEK,7777
SOBCZYK,7696
MATUSIAK,7660
MARCINKOWSKI,7647
SKOWROŃSKI,7645
ŚWIDERSKI,7628
CHRZANOWSKI,7624
LISOWSKI,7597
KOZIEŁ,7576
KASPRZYK,7548
BIAŁEK,7533
BEDNARSKI,7524
WITEK,7426
KUCZYŃSKI,7424
KWIECIEŃ,7418
PLUTA,7409
GRZYBOWSKI,7380
CHMIEL,7371
CZAJKA,7369
PALUCH,7360
TUREK,7352
JANISZEWSKI,7351
JĘDRZEJEWSKI,7340
MUSZYŃSKI,7317
MARCZAK,7312
MORAWSKI,7295
MAŁEK,7246
CZAJA,7171
ŚLIWA,7160
ŻUKOWSKI,7155
MARZEC,7148
KACZOR,7139
RAK,7119
KUBICKI,7114
PIEKARSKI,7109
CZECH,7064
SZCZĘSNY,7042
PRZYBYSZ,7015
OSIŃSKI,6992
GOŁĘBIEWSKI,6977
KRZEMIŃSKI,6965
STEFANIAK,6952
JANOWSKI,6948
KULESZA,6916
BIERNACKI,6889
LECH,6856
BANACH,6849
SMOLIŃSKI,6838
SZYDŁOWSKI,6838
SERAFIN,6834
KUJAWA,6809
MICHAŁOWSKI,6806
LEWICKI,6796
GÓRA,6773
STANISZEWSKI,6746
MURAWSKI,6741
CIEŚLIK,6740
KACPRZAK,6737
RUDNICKI,6732
POPŁAWSKI,6698
DĘBSKI,6686
DROZD,6684
STACHOWIAK,6678
PIETRZYK,6670
ŻUREK,6619
GÓRKA,6596
PIĄTKOWSKI,6587
NIEMIEC,6580
BANAŚ,6572
ZAWADA,6567
KARCZEWSKI,6561
GÓRNY,6541
MATYSIAK,6539
PODGÓRSKI,6539
ŻURAWSKI,6531
SOWIŃSKI,6507
KLIMCZAK,6486
GOŁĘBIOWSKI,6473
CZYŻ,6463
ROSIŃSKI,6429
BIENIEK,6371
KUŚ,6355
GODLEWSKI,6350
GRUSZKA,6318
KRAWIEC,6305
AUGUSTYNIAK,6300
SKRZYPCZAK,6292
GROCHOWSKI,6267
PTAK,6249
PANEK,6230
GIL,6196
PRZYBYŁA,6193
RÓŻAŃSKI,6152
KULIK,6137
WINIARSKI,6127
KONOPKA,6125
KOMOROWSKI,6088
SIWEK,6058
ZAREMBA,6054
SŁOWIK,6053
CYBULSKI,6027
MELNYK,6001
SZCZEPANIK,5996
LEŚNIEWSKI,5992
GRZYB,5964
KŁOS,5936
KRZYŻANOWSKI,5915
MIELCZAREK,5902
CICHOŃ,5898
MŁYNARCZYK,5886
TOKARSKI,5886
ZARZYCKI,5886
GRACZYK,5883
KACZYŃSKI,5820
MIKOŁAJCZAK,5820
BUCZEK,5812
STAŃCZYK,5795
SZOSTAK,5784
CICHOCKI,5771
WĘGRZYN,5769
BIERNAT,5765
SZYMCZYK,5758
JUREK,5739
STRZELECKI,5720
SZCZYGIEŁ,5718
SKOWRON,5705
BARTKOWIAK,5695
MAĆKOWIAK,5673
BOGUSZ,5665
JANUS,5663
CIEŚLA,5655
GAWRON,5646
GĄSIOR,5640
FILIPIAK,5623
KUCHARCZYK,5618
KALETA,5563
KUBIK,5560
NIEWIADOMSKI,5556
KOSTRZEWA,5551
JANIAK,5534
KULA,5532
RAKOWSKI,5522
BAGIŃSKI,5514
SIENKIEWICZ,5514
KSIĄŻEK,5513
RZEPKA,5506
GAWLIK,5479
PAŁKA,5455
ZARĘBA,5426
RÓŻYCKI,5425
ANTCZAK,5402
FRĄCZEK,5393
MALEC,5381
BARTCZAK,5373
TRZCIŃSKI,5341
ŻEBROWSKI,5319
ROGALSKI,5307
DŁUGOSZ,5275
MIKULSKI,5274
BANASIAK,5268
KRÓLIKOWSKI,5262
HAJDUK,5245
ROGALA,5222
ROJEK,5208
LACH,5199
TKACZYK,5186
KISIEL,5175
BOREK,5165
GRZEGORCZYK,5159
STEC,5153
DOBOSZ,5132
GAWROŃSKI,5130
TROJANOWSKI,5116
MALISZEWSKI,5100
RYBICKI,5095
WĄSIK,5083
ŚLUSARCZYK,5071
RADOMSKI,5053
WITCZAK,5038
WOLNY,5035
MIKA,5014
ZABOROWSKI,5007
KMIECIK,4999
LIPSKI,4982
WALKOWIAK,4961
BIAŁAS,4944
PAWELEC,4940
GRZESIAK,4931
FRĄCKOWIAK,4919
SOKÓŁ,4907
KARWOWSKI,4901
GAŁĄZKA,4899
WNUK,4899
BOGUCKI,4893
KACZOROWSKI,4891
FRANKOWSKI,4873
BOCHENEK,4864
ZYGMUNT,4850
CICHY,4844
ŻMUDA,4829
PASTERNAK,4811
KWAŚNIEWSKI,4801
NAWROT,4792
WIĘCKOWSKI,4788
WÓJCICKI,4778
JUSZCZAK,4761
GAWEŁ,4739
MROCZEK,4734
PIETRAS,4731
JANAS,4719
DUDZIŃSKI,4713
ROSIAK,4675
KARAŚ,4669
LASOTA,4669
ŁAPIŃSKI,4669
FIJAŁKOWSKI,4664
MISIAK,4661
WOJTCZAK,4652
SKRZYPEK,4651
PIÓRKOWSKI,4647
WROŃSKI,4641
BUJAK,4639
KRYSIAK,4620
JĘDRZEJCZYK,4614
KOŁODZIEJSKI,4600
DĄBEK,4599
KUBACKI,4592
CZYŻEWSKI,4588
GRUSZCZYŃSKI,4585
PIWOWARCZYK,4579
GUTOWSKI,4569
BURZYŃSKI,4554
BOROWIEC,4535
SZAFRAŃSKI,4523
SOŁTYS,4521
MASŁOWSKI,4513
STELMACH,4512
JAGIEŁŁO,4505
JAGODZIŃSKI,4504
ŁUKASZEWSKI,4503
TARNOWSKI,4499
ZIELONKA,4491
ZAJĄCZKOWSKI,4476
CEBULA,4475
DZIUBA,4473
BOBER,4462
KRAKOWIAK,4460
KAŁUŻNY,4457
CYGAN,4455
BIELAWSKI,4442
LISIECKI,4440
ŁUKASIEWICZ,4440
WOŹNY,4436
WILCZEK,4427
SKOCZYLAS,4425
FALKOWSKI,4414
FILIPEK,4411
JURKIEWICZ,4401
KAŁUŻA,4400
SZCZEŚNIAK,4400
DRZEWIECKI,4397
PILARSKI,4395
PAKUŁA,4389
JAKUBIAK,4383
SKIBIŃSKI,4374
JĘDRZEJCZAK,4371
KĘDZIORA,4354
SOBIERAJ,4354
GĄSIOROWSKI,4344
DĘBOWSKI,4334
STRZELCZYK,4315
FLIS,4306
ROMANIUK,4303
RACZYŃSKI,4297
TWARDOWSKI,4296
KULIG,4295
STANEK,4286
GOŁĄB,4275
GUZIK,4274
MIERZEJEWSKI,4267
WASIAK,4262
KOVALCHUK,4261
GÓRNIAK,4252
MAJCHER,4252
WIĘCEK,4252
RUSIN,4249
KUBICA,4248
GÓRAL,4240
MATUSZAK,4212
MOTYKA,4205
WOLAK,4203
BARTOSIK,4191
BURY,4178
GRZYWACZ,4174
FLOREK,4172
BILSKI,4170
DROZDOWSKI,4158
SZWED,4156
WOJTAS,4154
PYTEL,4143
CHOLEWA,4131
CZAPLA,4127
KASZUBA,4121
STOLARCZYK,4121
NOWACZYK,4118
KRUPIŃSKI,4117
URBAŃCZYK,4104
PARTYKA,4095
BIELAK,4087
PACZKOWSKI,4085
KOPCZYŃSKI,4079
PROKOP,4074
ZAGÓRSKI,4063
DUBIEL,4059
JAŚKIEWICZ,4059
MICHAŁEK,4059
MISZTAL,4055
STASZEWSKI,4053
GWÓŹDŹ,4049
RUCIŃSKI,4049
KUC,4041
KAPUSTA,4032
MALICKI,4030
BOŻEK,4013
SIEDLECKI,4011
BIAŁY,4001
JANKOWIAK,3999
ŚWIERCZYŃSKI,3990
KĘPA,3984
MODZELEWSKI,3976
PŁONKA,3975
CISZEWSKI,3974
KUCHTA,3974
ANDRZEJCZAK,3971
GAŁKA,3965
SKÓRA,3959
JANUSZ,3956
BIEŃKOWSKI,3955
JURKOWSKI,3952
SIERADZKI,3950
SŁOWIŃSKI,3948
SŁAWIŃSKI,3947
MILCZAREK,3943
ZWOLIŃSKI,3943
KACZMARSKI,3940
SZCZERBA,3938
STACHURA,3929
PAWLIKOWSKI,3925
SZYSZKA,3925
SITEK,3911
SOCHACKI,3905
JEZIERSKI,3898
ROSA,3889
STĘPNIAK,3884
JACKOWSKI,3869
KOLASA,3855
WOŚ,3849
BRODA,3847
DUDZIK,3845
CHMURA,3834
LIPKA,3834
MROCZKOWSKI,3830
SHEVCHENKO,3826
OLCZAK,3815
IWAŃSKI,3812
MAŚLANKA,3812
NOGA,3812
DEC,3810
MAJKA,3805
KWIECIŃSKI,3801
KNAPIK,3796
KOGUT,3795
CHOJNOWSKI,3781
SALAMON,3777
SZATKOWSKI,3768
SKALSKI,3767
MAŃKOWSKI,3757
TRZECIAK,3754
TOKARZ,3746
DUDZIAK,3738
LENART,3736
BOIKO,3735
FLORCZAK,3732
WYSZYŃSKI,3731
KOZA,3730
DOBRZYŃSKI,3728
KOWALCZUK,3727
KITA,3725
PASZKOWSKI,3725
KOBUS,3711
MICHALCZYK,3706
KOŁAKOWSKI,3704
SKOWRONEK,3703
STANISŁAWSKI,3703
KOS,3702
ZDUNEK,3702
BUCZYŃSKI,3700
KRUSZEWSKI,3700
MROZEK,3700
MOLENDA,3697
KOTOWSKI,3690
WŁODARSKI,3690
JANUSZEWSKI,3683
PUCHALSKI,3681
KAWA,3669
KIEŁBASA,3656
CHUDY,3637
WARCHOŁ,3635
ŻUK,3630
IVANOV,3629
DOMINIAK,3627
GRZESIK,3624
CZECHOWSKI,3620
MOROZ,3619
ROBAK,3611
ADAMCZAK,3601
PRUS,3598
ADAMUS,3597
AUGUSTYN,3596
PILCH,3596
PIECHOTA,3590
WIĄCEK,3582
KŁOSOWSKI,3573
RYŚ,3564
CHUDZIK,3560
MACIĄG,3559
ADAMEK,3554
RUDNIK,3551
SURMA,3547
JAGIELSKI,3546
JURCZAK,3537
STOLARSKI,3536
BĄKOWSKI,3535
RUDZIŃSKI,3533
GŁOGOWSKI,3532
KOPER,3531
PRZYBYŁ,3530
FILIPOWICZ,3526
KALISZ,3521
JARZĄBEK,3519
MALIK,3519
NIEDŹWIECKI,3518
ŻYŁA,3518
TOMALA,3511
MARCHEWKA,3506
MOSKAL,3506
DĄBKOWSKI,3504
KASPEREK,3495
BANASIK,3494
KUŹMA,3494
PORĘBSKI,3493
BUDZYŃSKI,3483
STAŃCZAK,3476
OLEKSY,3468
FURMAN,3462
KOPACZ,3461
GADOMSKI,3447
NIEMCZYK,3445
GORCZYCA,3444
PIŁAT,3442
SOŁTYSIAK,3437
KANIEWSKI,3436
ROMAN,3428
BUCZKOWSKI,3427
TRACZ,3427
WYPYCH,3417
ZIĘTEK,3415
JAROS,3413
MIŚKIEWICZ,3412
GOLEC,3388
BARTNIK,3386
SZELĄG,3380
KORZENIOWSKI,3379
SOJKA,3376
SZYMKOWIAK,3375
KUCIŃSKI,3373
DRABIK,3371
STACHURSKI,3356
PANASIUK,3355
KRUCZEK,3352
WOLIŃSKI,3338
TRELA,3336
BALCERZAK,3334
OSSOWSKI,3330
PELC,3328
ZABŁOCKI,3328
STACHOWICZ,3327
MAGIERA,3326
BŁASZCZAK,3324
PIOTROWICZ,3324
KUJAWSKI,3323
ADAMIAK,3316
WARZECHA,3316
RADECKI,3309
BUDZIŃSKI,3308
SZUBA,3305
ŚLĘZAK,3305
JURCZYK,3304
RYBARCZYK,3304
SĘK,3304
BIELSKI,3297
DRÓŻDŻ,3292
PIETRUSZKA,3292
FRĄTCZAK,3289
LESIAK,3288
KOZIK,3282
GŁĄB,3280
HERMAN,3278
BIAŁKOWSKI,3276
RUDZKI,3276
KULIŃSKI,3270
MIERZWA,3269
KMIEĆ,3267
KOVALENKO,3259
BONDARENKO,3257
KRAKOWSKI,3257
SHEVCHUK,3257
NIEDZIELSKI,3255
KOSTECKI,3249
TOMASIK,3246
ŚWIDER,3244
MILLER,3243
ZIMNY,3242
BIELIŃSKI,3239
KOSOWSKI,3233
SOBOTA,3232
WOŹNICA,3230
ADAMOWICZ,3224
SKORUPA,3220
OLCZYK,3216
PEŁKA,3216
BANASZEK,3214
GUT,3214
POLAŃSKI,3210
NGUYEN,3209
STAWICKI,3205
GRUDZIEŃ,3201
WOŁOSZYN,3201
PAWLICKI,3192
SOBAŃSKI,3185
GRZEŚKOWIAK,3182
URBANEK,3179
WOJTASIK,3178
POGORZELSKI,3177
SEKUŁA,3177
PIWOWARSKI,3161
CZEKAJ,3155
KOVAL,3155
ŚMIGIELSKI,3154
KAWECKI,3148
TOKARCZYK,3147
BORYS,3144
BOGACZ,3132
KĘDZIOR,3119
LITWIN,3115
LORENC,3111
LISZKA,3110
WOJTKOWIAK,3109
PIĘTKA,3108
URBANOWICZ,3107
KNAP,3095
SZWARC,3095
ŻUCHOWSKI,3094
GACEK,3093
ŚWIĄTKOWSKI,3091
JUSZCZYK,3090
CZERNIAK,3089
BISKUP,3074
SZAREK,3066
MAKUCH,3062
SZOT,3055
WIŚNIOWSKI,3053
GRUDZIŃSKI,3052
ROSZKOWSKI,3052
KUKLA,3050
KRASOWSKI,3047
IZDEBSKI,3044
NAPIERAŁA,3043
STUDZIŃSKI,3040
RATAJCZYK,3038
KARCZ,3033
KRUKOWSKI,3028
KAWKA,3026
KWIATEK,3025
SEMENIUK,3016
ŚLEDŹ,3016
RYBKA,3010
MACKIEWICZ,3009
NGUYỄN,3002
KUSIAK,2997
JAKUBCZYK,2993
JÓŹWIK,2989
SIWIEC,2987
ROSZAK,2973
PAPROCKI,2970
ŁUKASZEWICZ,2969
MAZIARZ,2969
MAŃKA,2967
DUSZYŃSKI,2958
ROŻEK,2949
BOBROWSKI,2948
FILIP,2945
JEZIORSKI,2941
RESZKA,2941
TKACHENKO,2939
GRZYBEK,2934
ALEKSANDROWICZ,2933
KRASZEWSKI,2932
SZKUDLAREK,2932
WACH,2930
SIDOR,2924
WOJDA,2918
WERNER,2917
TKACZ,2916
KORCZAK,2899
SMOLEŃ,2898
MIELCAREK,2895
HOFFMANN,2894
TUROWSKI,2894
GRODZKI,2893
RUSEK,2892
MAŁKOWSKI,2891
SZELIGA,2887
SINGH,2885
ŚPIEWAK,2885
WRZESIŃSKI,2885
DROŻDŻ,2876
WAJDA,2870
KRÓLAK,2864
SZCZUREK,2862
KĘPKA,2861
PIECH,2861
NIEDZIELA,2859
KULPA,2857
PĘKALA,2851
STASZAK,2847
KRUSZYŃSKI,2845
SCHMIDT,2842
OLECH,2838
SZOPA,2835
KORZENIEWSKI,2834
MAJKOWSKI,2831
BUGAJSKI,2829
GĄSIOREK,2829
RZEPECKI,2825
PLICHTA,2824
SZYMANEK,2821
LEWIŃSKI,2819
GRABARCZYK,2817
SUSKI,2814
GOLA,2812
OLIINYK,2811
PERKOWSKI,2804
BARTOSZEK,2800
LIPIEC,2800
RODAK,2795
SKONIECZNY,2795
KOSMALA,2794
JAKUBIEC,2790
LANGE,2790
KAPUŚCIŃSKI,2788
BOGDAŃSKI,2785
RADZISZEWSKI,2782
ROGOZIŃSKI,2772
ORZEŁ,2763
KUPIEC,2761
KURZAWA,2761
WOJTOWICZ,2761
KOKOSZKA,2756
OLSZAK,2753
PISZCZEK,2751
WASIELEWSKI,2750
SUŁKOWSKI,2748
WRZOSEK,2745
SUCHECKI,2743
PISAREK,2741
SZPAK,2739
RACZKOWSKI,2737
KOZAKIEWICZ,2730
ROKICKI,2730
PASZKIEWICZ,2729
GOLIŃSKI,2726
DYMEK,2724
KAŹMIERSKI,2724
RÓG,2724
TKACHUK,2724
JASKULSKI,2721
OŻÓG,2718
WIELGUS,2717
KAWALEC,2714
KOKOT,2711
MARTYNIUK,2710
GOŁĄBEK,2706
JANCZAK,2706
GŁADYSZ,2703
BIELA,2698
WYRZYKOWSKI,2697
ZAPAŁA,2694
STOKŁOSA,2692
BURDA,2690
GRUCA,2690
BANASZAK,2688
ADAMIEC,2687
OSOWSKI,2687
CHROBAK,2686
WOJTASZEK,2685
BIAŁECKI,2684
KOPROWSKI,2684
PLEWA,2682
SUDOŁ,2681
POTOCKI,2679
MACH,2674
ŚWIERCZEK,2674
BARSZCZ,2673
BRODOWSKI,2673
BRZESKI,2670
BUGAJ,2670
GARBACZ,2665
ROMAŃSKI,2664
LASEK,2660
BOJARSKI,2656
KONARSKI,2656
SZYMANOWSKI,2655
SOLECKI,2652
LOREK,2650
PIERZCHAŁA,2645
MATUSIK,2642
SMOLAREK,2640
KRAVCHENKO,2639
NOWIŃSKI,2638
JAMRÓZ,2634
KALIŃSKI,2631
BALICKI,2627
KAROLAK,2625
MĄCZKA,2625
KOSTKA,2624
SZCZYGIELSKI,2624
SUROWIEC,2623
PŁATEK,2619
KOCHAŃSKI,2618
WASZKIEWICZ,2617
BILIŃSKI,2613
PISKORZ,2602
CZARNOTA,2600
GABRYŚ,2595
PIECHOCKI,2591
PUCHAŁA,2591
SALA,2591
ŚWITAŁA,2590
BERNAT,2589
ŁACH,2588
TRACZYK,2586
WŁOCH,2586
PASZEK,2582
BIEL,2579
WAGNER,2578
KOLASIŃSKI,2577
WÓJCIAK,2577
AMBROZIAK,2576
DZIKOWSKI,2564
WALCZYK,2560
PASEK,2559
WEBER,2555
BARON,2552
MĄDRY,2552
STENCEL,2550
ZBOROWSKI,2546
KEMPA,2545
OKOŃ,2545
BOGDAN,2541
SZYMANIAK,2541
WDOWIAK,2541
PIĘTA,2539
KRAUZE,2538
SKWAREK,2538
ZAWISTOWSKI,2538
BŁOŃSKI,2537
DOLATA,2536
OSUCH,2535
BUREK,2534
CICHOSZ,2532
BATOR,2530
GRELA,2528
ADAMCZEWSKI,2527
OGÓREK,2526
OLEŚ,2526
FRANCZAK,2524
KOZYRA,2521
STACHOWSKI,2516
WACHOWIAK,2515
FIGURA,2512
JAROSZEWSKI,2511
OZGA,2511
WIELGOSZ,2511
GAZDA,2507
WĄSOWSKI,2507
ZARĘBSKI,2507
DZIURA,2502
DOLIŃSKI,2498
MODRZEJEWSKI,2498
FERENC,2497
JEDYNAK,2497
WALIGÓRA,2497
KOMAR,2495
GÓRALCZYK,2494
DRĄG,2491
KAPICA,2491
POLISHCHUK,2491
MAJDA,2487
MIECZKOWSKI,2487
MULARCZYK,2486
GROBELNY,2485
MIŚ,2483
ZAWISZA,2481
CIOŁEK,2478
MYŚLIWIEC,2476
STĘPNIEWSKI,2475
PÓŁTORAK,2474
DUTKIEWICZ,2473
KOŚCIELNIAK,2473
JASKÓLSKI,2472
NADOLNY,2472
PARADOWSKI,2472
ĆWIK,2471
KULAS,2471
LEMAŃSKI,2471
KWAŚNY,2470
BROŻEK,2469
MROWIEC,2469
BARTNICKI,2467
GRABSKI,2466
ŁOŚ,2466
GRYGIEL,2465
ŁAWNICZAK,2461
KOZERA,2460
WNĘK,2453
KRASKA,2452
LACHOWICZ,2452
KLIMAS,2451
MIREK,2447
BOROŃ,2441
GAŁECKI,2441
SMYK,2441
BERNACKI,2440
KULIKOWSKI,2439
KOZICKI,2437
NALEPA,2436
KREFT,2434
KOŁODZIEJCZAK,2433
KOCHANOWSKI,2432
MŁYNARSKI,2432
NADOLSKI,2430
RYBA,2429
SOBOŃ,2425
SZADKOWSKI,2424
GAJ,2423
GALIŃSKI,2419
SITKO,2419
ANTONIAK,2418
STOPA,2418
WINNICKI,2417
CZAPLIŃSKI,2414
BIEŃ,2413
SZWEDA,2411
TABOR,2409
KĄKOL,2401
ĆWIKLIŃSKI,2400
KOSTRZEWSKI,2400
SZCZEPANEK,2399
SPYCHAŁA,2398
PRZYBYSZEWSKI,2394
CZUBA,2393
SZAFRAN,2390
WYDRA,2390
SKORUPSKI,2388
PORĘBA,2386
WĘGLARZ,2375
FILIPCZAK,2372
BARTOSIEWICZ,2370
BŁAŻEJEWSKI,2370
NIEZGODA,2368
FIGIEL,2366
BARTKOWSKI,2364
PASTUSZKA,2363
PAJOR,2360
TURSKI,2358
JANECZEK,2354
BONDAR,2351
BŁASZKIEWICZ,2350
BUDA,2350
NOSAL,2349
KLUSKA,2348
TYMIŃSKI,2347
GAJEK,2345
SARNOWSKI,2344
GLIŃSKI,2343
KLIMASZEWSKI,2341
PIETRZYKOWSKI,2338
FLAK,2337
WISZNIEWSKI,2336
WALAS,2335
MACHNIK,2332
DOBRZAŃSKI,2329
ŚLIWKA,2329
ŁUGOWSKI,2325
KRÓLIK,2321
RYCHLIK,2321
WCISŁO,2321
GUZ,2319
BUDNY,2314
SOBOCIŃSKI,2314
MORAWIEC,2313
GALAS,2309
GIZA,2307
IWANOWSKI,2307
ŚWIERCZ,2307
ZASADA,2306
KRAUSE,2304
RYBIŃSKI,2304
CHOJECKI,2299
SŁOMIŃSKI,2299
WIERZCHOWSKI,2298
ZAWIŚLAK,2295
GOŁASZEWSKI,2293
SEWERYN,2293
CZAPIEWSKI,2290
KALITA,2289
KAZIMIERCZAK,2287
ŁAKOMY,2287
FURTAK,2284
TARASIUK,2283
ZIOMEK,2282
MARCINKIEWICZ,2281
RUMIŃSKI,2281
WILCZEWSKI,2281
MIZERA,2280
KASPERSKI,2277
BRYŁA,2274
MARCZEWSKI,2274
RYBACKI,2274
MIKUŁA,2272
JACKIEWICZ,2268
IWANICKI,2267
GOLONKA,2265
SŁOMKA,2265
KIM,2263
SZCZOTKA,2263
OLENDER,2261
KLONOWSKI,2260
BOJANOWSKI,2259
MUSIOŁ,2259
MISZCZAK,2258
GAŁUSZKA,2254
PIEŃKOWSKI,2253
SZUBERT,2253
SZOSTEK,2252
TUSZYŃSKI,2251
KALBARCZYK,2250
MAKAREWICZ,2249
RADZIKOWSKI,2247
TRUSZKOWSKI,2242
ROKITA,2241
DANIEL,2240
MATCZAK,2239
JOŃCZYK,2233
PODSIADŁO,2233
BOROWIAK,2232
KŁOSIŃSKI,2232
BABIARZ,2229
TOPOLSKI,2228
GÓRALSKI,2227
PILARCZYK,2224
DUSZA,2223
KORNACKI,2223
PIEKARZ,2223
WASZAK,2222
RĄCZKA,2221
LEWCZUK,2220
GĄSKA,2215
KOŁACZ,2215
WACHOWSKI,2215
CHYLIŃSKI,2214
KRZAK,2214
SOBCZYŃSKI,2214
NAPIÓRKOWSKI,2211
FRANKIEWICZ,2210
IWAN,2208
BĄCZEK,2206
TROJAN,2205
KRASUSKI,2204
STRZAŁKOWSKI,2204
NYCZ,2199
MACHOWSKI,2198
RADWAŃSKI,2193
DAWIDOWSKI,2191
DOMAGALSKI,2191
RAKOCZY,2187
ZIEMBA,2185
TARKA,2184
LUDWICZAK,2182
MASTALERZ,2181
SUCHOCKI,2181
KOBYLIŃSKI,2179
SITARZ,2177
WILIŃSKI,2173
PIWOWAR,2170
PISARSKI,2167
MAŁOLEPSZY,2166
DREWNIAK,2163
MARKOWICZ,2163
KLEIN,2160
KOZIŃSKI,2160
DWORAK,2158
KLOC,2157
GWIAZDA,2156
ANTKOWIAK,2155
KIELAR,2155
SZEWCZUK,2154
NEUMANN,2153
WOJDYŁA,2153
GREGORCZYK,2151
DUL,2149
GĄDEK,2149
RYDZEWSKI,2149
KRAVCHUK,2143
BACZYŃSKI,2140
STAROŃ,2139
MACIASZEK,2137
TRZASKA,2137
PATER,2135
CZUBAK,2127
SOSIŃSKI,2127
OSIECKI,2126
ZALESKI,2126
BODNAR,2125
CHOWANIEC,2125
