Nazwisko aktualne,Liczba
MAJKA,3840
SKÓRA,3835
DEC,3834
STANISŁAWSKA,3833
SALAMON,3828
FLORCZAK,3804
PUCHALSKA,3798
DUDZIAK,3795
CZECHOWSKA,3788
DOMINIAK,3788
WŁODARSKA,3788
MICHALCZYK,3779
AUGUSTYN,3778
TRZECIAK,3777
JANUSZEWSKA,3774
SHEVCHUK,3774
LIPKA,3767
ZDUNEK,3762
TOKARZ,3761
ADAMCZAK,3751
TOMALA,3750
MAŃKOWSKA,3746
KAWA,3745
KOTOWSKA,3744
MOLENDA,3741
ADAMEK,3736
BUCZYŃSKA,3736
FILIPOWICZ,3735
SKOWRONEK,3720
KOŁAKOWSKA,3712
GŁOGOWSKA,3708
KOBUS,3704
KITA,3701
JAGIELSKA,3690
MROZEK,3687
KOPER,3683
PILCH,3682
KOGUT,3681
ADAMUS,3674
MAŚLANKA,3674
PIECHOTA,3669
MALIK,3668
STOLARSKA,3659
NOGA,3658
DOBRZYŃSKA,3651
KANIEWSKA,3650
ZIĘTEK,3642
GORCZYCA,3623
KOVAL,3616
BĄKOWSKA,3610
BUDZYŃSKA,3608
GRZESIK,3605
ŻUK,3605
BANASIK,3603
NIEDŹWIECKA,3603
CHUDZIK,3601
ROBAK,3599
MACIĄG,3590
JURCZAK,3589
WIĄCEK,3576
KOS,3573
RUDNIK,3572
PRUS,3571
RUDZIŃSKA,3570
HERMAN,3569
NIEMCZYK,3566
TKACHENKO,3564
JARZĄBEK,3560
KŁOSOWSKA,3559
SOŁTYSIAK,3551
WARCHOŁ,3546
MOSKAL,3545
KALISZ,3541
KOZA,3540
PRZYBYŁ,3540
STAŃCZAK,3539
BUCZKOWSKA,3536
MIŚKIEWICZ,3522
KOPACZ,3521
DRABIK,3517
SOJKA,3517
KUŹMA,3515
GADOMSKA,3511
PORĘBSKA,3500
KASPEREK,3498
WYPYCH,3497
DĄBKOWSKA,3494
OLEKSY,3484
KUCIŃSKA,3478
ADAMOWICZ,3475
STACHURSKA,3473
BIAŁKOWSKA,3472
BŁASZCZAK,3469
OLCZYK,3468
OSSOWSKA,3465
SURMA,3465
ROMAN,3464
MARCHEWKA,3454
BARTNIK,3452
KRAVCHENKO,3446
PIŁAT,3443
FURMAN,3441
GOLEC,3440
STACHOWICZ,3438
MAGIERA,3424
RYŚ,3424
WOLIŃSKA,3423
ZABŁOCKA,3419
PANASIUK,3417
KORZENIOWSKA,3415
NIEDZIELSKA,3410
TRACZ,3405
BALCERZAK,3402
BIELSKA,3402
JAROS,3397
SZYMKOWIAK,3397
BUDZIŃSKA,3394
KIEŁBASA,3392
ADAMIAK,3389
ŻYŁA,3387
MILLER,3377
WOJTKOWIAK,3376
SZELĄG,3375
RYBARCZYK,3374
BURY,3373
RADECKA,3367
DRÓŻDŻ,3364
RUDZKA,3358
ŚLĘZAK,3352
PIETRUSZKA,3348
SCHMIDT,3348
GRUDZIEŃ,3347
KOSTECKA,3344
KOSOWSKA,3342
KOZIK,3342
PIOTROWICZ,3341
KUJAWSKA,3339
LESIAK,3334
SOBAŃSKA,3325
PELC,3324
JURCZYK,3323
WARZECHA,3322
PEŁKA,3321
SĘK,3321
GRZEŚKOWIAK,3318
URBANEK,3314
KRAKOWSKA,3310
TOMASIK,3308
BIELIŃSKA,3305
PAWLICKA,3304
WOŁOSZYN,3302
KRUCZEK,3301
SEKUŁA,3301
FRĄTCZAK,3300
TRELA,3296
WOŹNICA,3289
OLIINYK,3288
WOJTASIK,3283
POLAŃSKA,3282
BISKUP,3279
HOFFMANN,3276
POGORZELSKA,3273
ŚWIĄTKOWSKA,3263
SZUBA,3262
MIERZWA,3260
URBANOWICZ,3259
STAWICKA,3255
BORYS,3254
PIWOWARSKA,3250
ŚWIDER,3244
CZERNIAK,3243
ŚMIGIELSKA,3243
KULIŃSKA,3242
SOBOTA,3242
KAWECKA,3238
BANASZEK,3236
MACKIEWICZ,3234
GUT,3221
KMIEĆ,3217
LITWIN,3215
CZEKAJ,3211
POLISHCHUK,3210
GŁĄB,3208
KRASOWSKA,3184
RATAJCZYK,3181
LORENC,3173
SEMENIUK,3156
KWIATEK,3155
WERNER,3154
ROSZKOWSKA,3153
GRUDZIŃSKA,3152
ALEKSANDROWICZ,3151
IZDEBSKA,3143
TOKARCZYK,3143
ROSZAK,3138
SZWARC,3135
WIŚNIOWSKA,3129
SZAREK,3115
NAPIERAŁA,3113
MAKUCH,3112
SKORUPA,3112
SIWIEC,3107
LISZKA,3099
BOGACZ,3096
STUDZIŃSKA,3096
ŁUKASZEWICZ,3095
KAWKA,3091
SZOT,3091
JUSZCZYK,3086
JÓŹWIK,3080
KNAP,3079
JAKUBCZYK,3071
TUROWSKA,3071
MARTYNIUK,3067
KARCZ,3054
PIĘTKA,3049
KUSIAK,3042
KUKLA,3041
WRZESIŃSKA,3041
TKACHUK,3039
LANGE,3035
JEZIORSKA,3033
GACEK,3031
WACH,3028
KĘDZIOR,3027
KRUKOWSKA,3027
ŻUCHOWSKA,3023
RYBKA,2991
PAPROCKA,2990
SIDOR,2985
ROŻEK,2980
MAŃKA,2974
KRUSZYŃSKA,2971
SZELIGA,2967
TKACZ,2965
GRODZKA,2962
BOBROWSKA,2961
WOJDA,2958
KRÓLAK,2957
KRASZEWSKA,2954
MIELCAREK,2949
CICHA,2935
KORCZAK,2933
RADZISZEWSKA,2931
BOGDAŃSKA,2929
WAGNER,2927
SMOLEŃ,2925
MAZIARZ,2924
ŚPIEWAK,2924
KOSMALA,2922
SZYMANEK,2918
GĄSIOREK,2915
KORZENIEWSKA,2913
MAJKOWSKA,2910
NIEDZIELA,2910
GRZYBEK,2906
PERKOWSKA,2906
FILIP,2905
MAŁKOWSKA,2901
ROMAŃSKA,2900
JAKUBIEC,2899
OLECH,2899
GRABARCZYK,2886
SZKUDLAREK,2884
STASZAK,2880
WAJDA,2880
RODAK,2879
POTOCKA,2876
LEWIŃSKA,2875
RUSEK,2874
RZEPECKA,2872
RESZKA,2868
WOLNA,2865
LIPIEC,2863
ŚLEDŹ,2862
NOWIŃSKA,2860
KULPA,2854
WASIELEWSKA,2842
KOZAKIEWICZ,2841
RACZKOWSKA,2841
WOJTOWICZ,2840
PISAREK,2839
SZOPA,2836
BONDAR,2834
ADAMIEC,2833
KAPUŚCIŃSKA,2830
BARTOSZEK,2828
DROŻDŻ,2828
KAWALEC,2828
PĘKALA,2828
PLICHTA,2827
BANASZAK,2825
KUPIEC,2823
KONARSKA,2821
PIECH,2817
BUGAJSKA,2815
GŁADYSZ,2811
GOLA,2811
SZYMANOWSKA,2811
DUSZYŃSKA,2810
ROKICKA,2808
KAŹMIERSKA,2803
OLSZAK,2801
ROGOZIŃSKA,2789
SKONIECZNA,2788
WYRZYKOWSKA,2787
OSOWSKA,2786
PASZKIEWICZ,2786
KOCHAŃSKA,2783
JANCZAK,2780
BRZESKA,2775
BILIŃSKA,2773
STOKŁOSA,2773
SUCHECKA,2772
KURZAWA,2767
SOLECKA,2765
WRZOSEK,2763
SZCZYGIELSKA,2757
KĘPKA,2754
BUGAJ,2753
PUCHAŁA,2752
BALICKA,2749
KALIŃSKA,2748
SUŁKOWSKA,2747
PIERZCHAŁA,2746
KOKOT,2745
GRUCA,2743
BIELA,2741
GOLIŃSKA,2741
SUDOŁ,2741
KAROLAK,2740
AMBROZIAK,2739
WEBER,2735
WASZKIEWICZ,2729
BRODOWSKA,2727
ORZEŁ,2725
LASEK,2724
KOKOSZKA,2723
BURDA,2721
WÓJCIAK,2718
ŚWIERCZEK,2716
JASKULSKA,2711
WOJTASZEK,2709
MACH,2703
WIELGUS,2699
PASEK,2698
CHROBAK,2692
ZAPAŁA,2692
KRAUZE,2689
PIECHOCKA,2689
GÓRALCZYK,2686
PŁATEK,2685
SZCZUREK,2677
JAMRÓZ,2674
BARSZCZ,2673
GARBACZ,2673
BOJARSKA,2672
BIAŁECKA,2670
JAROSZEWSKA,2664
FIGURA,2660
MĄCZKA,2660
ZBOROWSKA,2658
LOREK,2656
DYMEK,2654
BATOR,2652
PISZCZEK,2649
WOŹNA,2649
KOPROWSKA,2646
CZARNOTA,2645
OŻÓG,2639
KOSTKA,2625
MATUSIK,2624
FERENC,2622
DZIKOWSKA,2618
KRAVCHUK,2612
SALA,2612
KOCHANOWSKA,2610
OLEŚ,2607
OSUCH,2605
SZPAK,2605
PASZEK,2604
DUTKIEWICZ,2600
TRACZYK,2600
WALCZYK,2600
DOLATA,2595
STENCEL,2594
BARON,2593
BERNAT,2590
GOŁĄBEK,2590
GRYGIEL,2590
GABRYŚ,2588
CICHOSZ,2586
KOZYRA,2585
GRELA,2584
STĘPNIEWSKA,2582
SUROWIEC,2578
MIECZKOWSKA,2576
KOŁODZIEJCZAK,2573
DOLIŃSKA,2572
ZAWISZA,2572
BARTOSIEWICZ,2571
MODRZEJEWSKA,2571
PARADOWSKA,2570
WDOWIAK,2569
KEMPA,2568
SZYMANIAK,2568
MULARCZYK,2567
BARTNICKA,2566
ŁAWNICZAK,2566
GRABSKA,2564
KOLASIŃSKA,2564
PISKORZ,2563
BŁAŻEJEWSKA,2562
ADAMCZEWSKA,2559
WACHOWIAK,2556
WIELGOSZ,2552
ZARĘBSKA,2551
ZASADA,2551
ZAWISTOWSKA,2550
SMOLAREK,2549
BIEL,2545
KOMAR,2545
BROŻEK,2544
BŁOŃSKA,2540
PLEWA,2539
KULIKOWSKA,2537
ŚWITAŁA,2536
WĄSOWSKA,2535
WINNICKA,2535
ĆWIKLIŃSKA,2532
PÓŁTORAK,2532
GAJ,2526
PIĘTA,2526
KOZERA,2524
MYŚLIWIEC,2524
MROWIEC,2523
ANTONIAK,2522
STACHOWSKA,2522
TYMIŃSKA,2515
KRASKA,2514
OKOŃ,2512
KOZICKA,2508
NADOLSKA,2507
WALIGÓRA,2507
MAJDA,2506
RÓG,2506
LACHOWICZ,2503
GALIŃSKA,2502
GAZDA,2497
KOŚCIELNIAK,2496
KONIECZNY,2489
SZADKOWSKA,2487
SKORUPSKA,2486
JASKÓLSKA,2483
BOGDAN,2479
OZGA,2479
BERNACKA,2474
GAŁECKA,2473
KRAUSE,2473
SZCZEPANEK,2473
KAPICA,2468
SZWEDA,2467
ŁOŚ,2466
FRANCZAK,2462
JEDYNAK,2459
MORAWIEC,2457
SKWAREK,2456
SARNOWSKA,2455
SOBOCIŃSKA,2455
WŁOCH,2455
LEMAŃSKA,2454
KLIMAS,2453
KOSTRZEWSKA,2450
SMYK,2446
BOROŃ,2441
MUSIOŁ,2439
FIGIEL,2438
MIŚ,2436
SZUBERT,2435
WILCZEWSKA,2435
BUREK,2434
ŁACH,2433
MIREK,2432
FILIPCZAK,2431
NIEZGODA,2430
BARTKOWSKA,2429
KLIMASZEWSKA,2424
PRZYBYSZEWSKA,2422
ZIMNA,2419
RUMIŃSKA,2414
SŁOMIŃSKA,2412
WOLNY,2407
SEWERYN,2406
DZIURA,2405
RYBA,2405
NADOLNA,2404
CZAPLIŃSKA,2403
GLIŃSKA,2399
RYCHLIK,2399
DOBRZAŃSKA,2398
MAKAREWICZ,2398
SZAFRAN,2398
GOŁASZEWSKA,2396
PASTUSZKA,2393
MŁYNARSKA,2392
JANECZEK,2390
BIEŃ,2389
JACKIEWICZ,2388
OGÓREK,2388
TURSKA,2388
BIAŁA,2386
NALEPA,2385
WISZNIEWSKA,2385
GAJEK,2384
KREFT,2383
KASPERSKA,2382
ŁUGOWSKA,2382
NEUMANN,2380
TABOR,2380
RYBIŃSKA,2377
TUSZYŃSKA,2375
KLEIN,2374
DANIEL,2373
GÓRALSKA,2372
BŁASZKIEWICZ,2371
KAZIMIERCZAK,2365
WĘGLARZ,2363
PILARCZYK,2361
GALAS,2360
SOBCZYŃSKA,2360
SPYCHAŁA,2359
TARASIUK,2359
ZIOMEK,2359
DRĄG,2355
PIETRZYKOWSKA,2354
RYBACKA,2352
MACHNIK,2350
SITKO,2346
IWANICKA,2342
FURTAK,2340
KRÓLIK,2340
NOSAL,2339
WACHOWSKA,2336
WALAS,2335
SAVCHUK,2334
BOJANOWSKA,2331
CZUBA,2331
STRZAŁKOWSKA,2331
MIKUŁA,2330
WYDRA,2330
FLAK,2327
GAŁUSZKA,2326
MARCINKIEWICZ,2326
FRANKIEWICZ,2325
KĄKOL,2325
LEWCZUK,2325
STOPA,2324
SZOSTEK,2323
MATCZAK,2322
TOPOLSKA,2321
KALITA,2320
PIWOWAR,2320
PODSIADŁO,2319
MARCZEWSKA,2317
RADWAŃSKA,2314
ANTKOWIAK,2313
CIOŁEK,2313
RADZIKOWSKA,2313
WCISŁO,2313
WNĘK,2313
KRASUSKA,2312
SOBOŃ,2311
CZAPIEWSKA,2309
ĆWIK,2309
KŁOSIŃSKA,2306
NGUYEN,2306
PIEŃKOWSKA,2306
SŁOMKA,2305
ZAWIŚLAK,2305
PORĘBA,2303
CHOJECKA,2299
GUZ,2299
NYCZ,2298
ŚWIERCZ,2293
KULAS,2292
KOBYLIŃSKA,2290
PAJOR,2287
ROKITA,2285
MACHOWSKA,2284
LUDWICZAK,2282
IWANOWSKA,2280
GIZA,2279
KOŁACZ,2279
MARKOWICZ,2278
GROBELNA,2273
ŚLIWKA,2272
DUSZA,2271
SOROKA,2271
WILIŃSKA,2270
POPOVA,2268
OLENDER,2266
KALBARCZYK,2265
BOROWIAK,2261
ANTONIUK,2258
JOŃCZYK,2258
KLONOWSKA,2256
KORNACKA,2255
NAPIÓRKOWSKA,2255
BUDA,2252
RĄCZKA,2252
ZATORSKA,2252
RYDZEWSKA,2251
BACZYŃSKA,2249
PATER,2243
CHYLIŃSKA,2238
WASZAK,2238
GWIAZDA,2234
KLUSKA,2234
BRYŁA,2232
GREGORCZYK,2232
MIZERA,2230
IWAN,2229
MELNYCHUK,2228
WIERZCHOWSKA,2228
MISZCZAK,2226
SZEWCZUK,2224
MASTALERZ,2222
SITARZ,2217
PIEKARZ,2216
KIELAR,2215
SUCHOCKA,2212
KONDRACKA,2200
OSTASZEWSKA,2199
MARCHENKO,2197
TRUSZKOWSKA,2197
WOJDYŁA,2197
JAKUBCZAK,2196
GĄSKA,2195
MOTYL,2193
OSIECKA,2193
CHOWANIEC,2192
PISARSKA,2191
DĘBICKA,2189
DOMAGALSKA,2187
DWORAK,2186
BODNAR,2185
DREWNIAK,2185
RAKOCZY,2184
CZUBAK,2183
TARKA,2180
DAWIDOWSKA,2177
SZAFRANIEC,2176
STAROŃ,2174
ZALESKA,2174
DUDKIEWICZ,2173
KOZIŃSKA,2172
SAKOWSKA,2171
SZLACHTA,2169
MOSKWA,2167
ZIEMBA,2166
